name,text,Lidor,Liora,Roee,Barak,Ania,Or,Ben,Skyler
PRES_45COMMITTEE_SAME_PATH_60,"What will America look like if we stay on the same path? Four more years of a flatline economy, skyrocketing health care premiums and deductibles, national morale at rock bottom. Four years of endless scandal, excuses and lies from a dishonest politician, americans simply don't trust. No candidates are ever perfect, but this choice is clear. A tired career politician who would increase taxes more than a trillion dollars, cost us over 300,000 jobs and dramatically increase the death tax. Or a proven job creator who fight to get America working. Appoint common sense judges and put us first. It's not too late to rebuild to change Washington to make America strong again. And it starts November 8th with your vote. The time for change is right now. 45 committee is responsible for the content of this advertising.",base,center,center,0,center,center,both,center
PRES_45COMMITTEE_SAME_PATH_REV_2,"What if we stay on the same path? A stagnant flatline economy, 45 million Americans living in poverty, skyrocketing health care premiums. America can't afford a president too distracted by their own endless scandals. There's only one way to stop the constant Clinton scandal, hold them accountable and make America strong again. On November 8th vote for real change. 45 committee is responsible for the content of this advertising.",center,center,0,0,0,center,both,both
PRES_60PLUS_STRENGTHEN,"Hello friend. Pat Boone here. Recently, there's been a lot of talk about Medicare. It's hard to know who to trust. The fact, Medicare is going bankrupt. President Obama hasn't done much to fix it. He took seven hundred billion dollars from Medicare to pay for his Healthcare law. Mitt Romney will strengthen Medicare so it's there for seniors and our grandkids, no changes. For those over 55 younger, folks can choose the care that's best for them. Strengthen Medicare. Vote for Romney. 60 plus Association is responsible for the content of this advertising.",center,center,center,0,center,center,center,center
PRES_ABTT_DOUBLE_NEGATIVE_60,"You're not a cook if you don't cook, you're not a firefighter if you don't fight fires or a coach if you don't coach. And you can't be our leader, if you don't lead. Our next president needs to take action on social security or future generations could lose up to ten thousand dollars a year. We're working hard. What about you? Hey candidates, do your job, keep Social Security, strong.",0,center,both,center,0,0,center,center
PRES_ABTT_NOT_ABEL_60,"You can't turn on the TV these days without seeing some attack ad. A Super PAC supporting Mitt Romney flooded Iowa with commercials hammering Newt Gingrich. Newt said you wanted it to end. So the Super PAC backing him just dumped millions into ads attacking Romney. It's enough to make you sick. Americans for a Better Tomorrow Tomorrow know we deserve better. Donate today and will destroy both these guys, and their Super PAC with a merciless ad, so fierce, they wish they'd never been Incorporated in an orgy of pure distortion leaving nothing behind but the clean campaign we all deserve. Americans for a Better Tomorrow Tomorrow are responsible, for the content of this advertisement.",0,both,both,0,0,both,center,center
PRES_AEA_NINE_DOLLAR_GAS,"The people of South Carolina are frustrated. It's less than a week before the election and they're still no candidate for us. Plus they economy. Thankfully there is one name on the ballot that stands for true americanimity, Herman Cain. Americans for a Better Tomorrow Tomorrow believe a vote for Herman Cain is a vote for America. He's not a career politician. He's such a Washington outsider, he's not even running for president. Send them a message. On January, 21st vote for Herman Cain. Americans for a Better Tomorrow Tomorrow are responsible for the content of this advertising.",center,center,0,center,0,0,center,center
PRES_AFF_BOB,"Since Obama became president, gas prices have nearly doubled. Obama opposed exploring for energy in Alaska. He gave millions of tax dollars to Solyndra, which then went bankrupt. And he blocked the Keystone Pipeline so we will all pay more at the pump. Obama's Energy Secretary said we need to boost the price of gasoline to the levels in Europe. That's $9 a gallon. But what does he care? Tell Obama we can't afford his failing energy policies.",center,center,both,0,0,center,center,center
PRES_AFF_MICHAEL_WALTZ,I was duped by the Trump. I paid 35 thousand dollars to Trump University and never heard from anybody about giving me a list of hard money lenders and they've never contact me to give me the opportunity to purchase any real estate owned by Donald Trump. I was scammed because I believe in Donald Trump. You can make people believe practically anything. American Future Fund is responsible for the content of this advertising.,center,center,0,center,0,0,center,center
PRES_AFF_PROMISES,"I'm Lieutenant Colonel Michael Waltz. I've served multiple tours in Afghanistan, as a special forces commander. Donald Trump hasn't served this country a day in his life. Essentially, dodged, the draft in Vietnam, through multiple deferments. He's been fed through a silver spoon went to boarding school. He says, it was so tough. He felt like he was in the military. All Donald Trump has served is himself. Don't let Trump fool you. Look into his real record and stop Trump now. American Future Fund is responsible for the content of this advertising.",both,center,center,0,center,0,center,center
PRES_AFP_LEADERSHIP_FAILURE,"""We're going through some tough times. Still going through some tough times. Create a million new manufacturing job. Rebuilding our crumbling roads and bridges. Building, roads and bridges. Pay down some of this debt. Pay down our debt. Put people back to work. Put people back to work. This is a time when so many people are struggling. When so many people are still struggling. I promise you. I promise you change will come. If I don't have this done in three years, then there's going to be a one-term proposition."" American Feature Fund is responsible for the content of this advertising.",0,both,0,center,0,both,center,center
PRES_AMERICALEADS_ENDORSED,"In 2006 senator Barack Obama said that raising America's debt limit is a sign of leadership failure. But now President Obama says, we have to extend this debt ceiling through the next election. Why under Obama the national debt is up 35 percent, unemployment is up 18%? And while reckless spending hurts our economy, the president wants to trillion dollars in new debt to get through the next election. President Obama, put America's needs ahead of partisan politics.",center,center,center,0,center,0,center,center
PRES_AMERICANCROSSROADS_FORWARD,"He has prosecuted terrorists. He tells it like it is. Chris Christie's leadership is right for these dangerous times. Christy is the conservative republican needed to take the fight to Hillary Clinton. Who you want across from Hillary Rodham Clinton to prosecute the case against her and her failed record? We have to stop her from being president. You need to go to the first of do you believe is the most tested, the most ready and the most mature to make the hard decisions of this country needs to make to get back on the right track. America Leads is responsible for this advertising.",center,center,center,0,center,0,center,center
PRES_AMERICANCROSSROADS_HIT,"President Obama says he will move us forward. But where's he taken us so far? America's worst economic recovery ever, 23 million of us without full-time work family and comes down. 40% living paycheck to paycheck and Obamacare's new tax on middle class families. All while Obama racked up five trillion more in debt. Is that really forward or backward? American Crossroads is responsible for the content of this advertising.",0,center,0,center,0,both,center,center
PRES_AMERICANCROSSROADS_SACK_IT,"""If you are a familiy, making more than 250 thousand dollars a year you will not see your taxes go up..."" ...unless you can't afford health insurance. Because uninsured Americans faced a seven hundred dollar tax under Obamacare, increasing every year. Now it's official. Obama increased taxes on struggling families. The middle class takes another hit. President Obama breaks another promise. American Crossroads is responsible for the content of this advertising.",0,center,0,center,0,center,center,center
PRES_BACHMANN_COURAGE,"Mr. President, here's what I want to know. Where are the jobs, you promised? The trillions you spent, where'd it all go? What's there to show for all that new debt? And if we're in a recovery, why are we making less? My family can't afford another four years like this. American Crossroads is responsible for the content of this advertising.",both,both,both,both,both,0,center,center
PRES_BUSH_ENOUGH_60,"I will not vote to increase the debt ceiling. It goes completely contrary to common sense and how I grew up in Iowa. So here I am in Congress, watching these people borrow more money that we don't have, so that my children can be further indebted. We have to deal with the economic reality and I have the will and I have the courage to see this through. I'm Michele Bachmann and I approve this message.",0,center,center,0,center,both,center,center
PRES_CARSON_OUTSIDE_THE_BOX,"""Just one other thing I got to get this off my chest, Donald Trump is a jerk."", ""Donald Trump facing new criticism for something. He did on the campaign trail last night in South Carolina. He appeared to mass a reporter with his disability."", ""I have a 12 year old sons and Italia cerebral palsy and that just made me so angry. I told my wife, I just couldn't let that stand. I had to do something. Make sure Donald Trump wasn't nominee for the Republican party."" I believe life is precious. I think life is truly a gift from God and we're all equal under God's watchful eye. That's what I believe. And when anybody, anybody disparages people with disabilities, it sets me off. That's why I called him a jerk. What kind of person would you want to have in the presidency that does that. What point do we say, enough of this? Let's start solving problems. I'm Jeb Bush and I approve this message.",0,center,center,center,center,0,center,center
PRES_CLINTON_DNC_THE_LAST_STRAW,"I'm Ben Carson and I'm running for president. The political class and their pundit buddy say impossible. He's to upside the box. Well, they do know impossible. Impossible to balance the budget and possible to get border security and possible to put aside partisanship. I'm Ben Carson. I'm running for president and I'm very much outside the box. There must be a good idea in there, somewhere. I'm Ben Carson and I approve this message.",center,base,0,0,0,0,both,center
PRES_CLINTON_EVERY_CHILD,"Leadership matters, it matters for our country and American leadership matters for the world. But if we're going to leave, we have to stop worrying about being loved and start caring about being respected again. I am not looking to be the most popular guy who looks in your eyes every day and try to figure out what you want to hear. Say it and then turn around and do something else. I mean, when I say and I say what I mean, and that's what America needs right now. I'm Chris Christie and I approve this message.",both,both,both,0,both,both,center,both
PRES_CLINTON_EVERY_CORNER,"There's no one else who is running for president of the United States was actually been responsible for prosecuting investigating terrorist. Hillary Clinton will be nothing more than a third term of Barack Obama. She was one of the architects of this foreign policy. We need to send a clear and strong message to our adversaries that there are clear limits to your conduct. And if you violate those, America is going to hold you to account. President that would be the top priority to protect the lives of the people of the United States of America. I'm Chris Christie and I approve this message.",center,center,center,0,0,center,0,0
PRES_CLINTON_LET'S_MOVE_FORWARD,"I believe in building ladders of opportunity for people. Knocking down the barriers that stand in the way. Hillary knows education is the way up to a good job. A decent living. So she wants preschool for every child great teachers and college without crushing debt. Together we can break down barriers for our kids, so they get the education they need and deserve. No matter what ZIP code they live in. I'm Hillary Clinton and I approve this message.",center,center,center,0,center,0,0,0
PRES_CLINTON_LYNN'S_FAMILY,American people can't afford to wait for ideas that sound good on paper but will never make it in the real world. A grandmother who has to choose between paying for medicine and paying rent can't wait. A single mom who desperately needs a raise can't wait. A student with a mountain of debt can't wait. We can make real progress right now for people and families who need it. I'm Hillary Clinton and I approve this message.,center,center,0,0,center,0,0,0
PRES_CLINTON_ONLY_WAY,"I spent 22 years in the Air Force and I was a republican for every one of them. I was rationalizing Donald Trump's behaviors until I heard that tape. That was the last straw. I don't want my granddaughter thinking It's okay to be treated that way and my grandson growing up thinking that's how you should treat women. That scares me. That scares me a lot. So Hillary's got my vote. We don't see eye to eye on everything, but she's strong and I respect her and she's someone that my grandkids can respect too. I'm Hillary Clinton and I approve this message.",center,center,0,center,0,0,0,0
PRES_CLINTON_ROLE_MODELS_60,"""Do you think when you are a present, you'll be paid as much as if you were a male?"" This is one of the jobs where they have to pay me the same. There are so many examples where that doesn't happen. I'm going to do everything I can to make sure every woman in every job gets paid the same as the man who are doing that job. I'm Hillary Clinton and I approve this message.",center,center,center,0,0,both,0,0
PRES_CLINTON_SOMEPLACE,"The republicans weren't going after President Obama. They were coming after me. His attorney general, and the cabin and I served with Hillary Clinton. I have known her for almost 25 years. This is the woman who's for her whole life stays for children, to protect civil rights, voting rights and Hilary is pushing hard for tougher gun laws and police accountability. If you want to make sure republicans don't take us backward help Hillary move us forward. I am Hilary Clinton and I approve this message.",center,center,center,0,0,center,0,0
PRES_CLINTON_STEADY_LEADER,"When I look at my new granddaughter, I think to myself, we're going to do everything we can to make sure she has opportunities in life. But what about all the kids? You should not have to be the grandchild of a former president to know that you can make it in America. That will be my mission as president to make sure I do everything I can every single day to knock down the barriers to open up the doors. So that every child has a chance to live up to his or her god-given potential. I'm Hillary Clinton. And I approve this message.",center,center,center,center,center,0,0,0
PRES_CLINTON_THE_LAST_STRAW,"Everywhere in this state Hillary made a difference for people when she was senator. In the Adirondacks she helped to keep businesses online. Help Finger Lakes Farmers sell their products in big cities. Stood up to China to protect our workers helped, create high-tech manufacturing jobs in Albany, clean energy jobs in Rochester and biomedical jobs in Buffalo. Hillary Clinton made a difference in every corner of New York and that's what you'll do in every corner of America. I am Hillary Clinton and I approve this message.",0,center,0,center,0,center,0,0
PRES_CLINTON_TOMORROW_120,"I'm Hillary Clinton and I approve this message. How do we make the economy work for everyone? Hillary Clinton's plan starts here. By making big corporations and those at the top finally pay their fair share in taxes. And those companies that move overseas. She'd charge them an exit tax. Then she'd use that money to make the largest investment in creating good-paying jobs since World War 2, millions of jobs. You can read the plan here.",0,center,0,center,0,center,0,0
PRES_CONSERVATIVESOLUTIONSPAC_FOOLS,"American workers brought us back from the crash. Now let's move forward. ""Jobs that provide dignity and a bright future."" New penalties to stop companies from moving their profits and jobs overseas. For businesses that create manufacturing jobs, a new tax credit, and let's invest in clean energy jobs with 500 million solar panels installed by the end of her first term. I am Hilary Clinton and I approve this message.",0,both,both,0,0,center,0,0
PRES_CROSSROADSGPS_CUT_THE_DEBT,"For Lin's family the big stress is paying $400 a month in medical and drug costs for Aiden. For other families at higher deductibles premiums and co-pays that keep adding up. That's why we've got to crack down on price gouging, tap out of pocket cost and fast-track approval of less expensive, generic drugs. Because we've got to get health care costs under control for Lin family and for yours, I'm Hillary Clinton and I approve this message.",center,center,0,center,0,0,0,0
PRES_CROSSROADSGPS_OBAMA'S_PROMISE,She says their names and makes their mothers fight for justice. She speaks for a city poisoned by indifference. And stands with the president against those who would undo his achievements. Just like she's always stood with us. Hillary Clinton. I'm Hillary Clinton and I approve this message.,center,center,base,0,center,0,0,center
PRES_CRUZ_GET_THIS_RIGHT_15,"I'm Hillary Clinton and I approve this message. Donald Trump says he alone can fix the problems we face. Well, I don't believe that's how you get things done in our country. It takes Democrats and Republicans working together. That's how we got health care for 8 million kids rebuilt New York City after 9/11 and got the treaty hiding Russia's nuclear arms. We've got to bring people together. That's how you solve problems. And that's what I'll do as president.",both,both,both,0,center,0,0,0
PRES_DNC_14_MONTHS_REV,"In every mom who takes on a second job, every school lunch packed every moment, helping with homework lies the belief that your child's life will be better than your own. Hillary Clinton is a believer too, winning health care for 8 million children, voting for immigration reform when others didn't and fighting to cut the cost of college. ""Just open up the doors for this. Every child has a chance to live up to his or her god-given potential."" I'm Hillary Clinton and I approve this message.",center,center,center,0,center,0,0,0
PRES_ENDINGSPENDING_THIS_TIME,"This is a letter from someone who's here. She has to take a brand-name drug and taking it since the early 1980s. At that time, it cost approximately $180 for 10 shots. The latest refill was fourteen thousand seven hundred dollars for the same 10 vials. And the company is called valeant Pharmaceuticals. I'm going after them. This is predatory pricing and we're going to make sure it will stop. I'm Hilary Clinton and I approve this message.",center,center,0,center,0,0,0,center
PRES_FUTURE45_PAID,"For speaking truth to power in China. ""Women's rights are human rights."" And having the fortitude to keep government out of women's personal health care decisions, planned parenthood, action fund endorses Hillary Clinton, just like the league of conservation voters for her bold plan to attack climate change and the Human Rights Campaign Fund because Hilary believes only love should decide which two people can marry, not just the progressive, a progressive who gets results. I'm Hillary Clinton and I approve this message.",center,center,center,0,center,0,0,0
PRES_KEEPTHEPROMISEI_STAND_UP_FOR_IOWA,"Every day I wake up and play a brilliant, complex, overqualified, get it done woman who obsessively fights for justice. Who cares? Who gives a voice to the voiceless who gets knocked down and always gets back up? I make television filled with the kind of characters. I imagine we all can be strong but flawed, human but extraordinary. Our characters are on television, but the real world. The real world has Hillary Clinton. The real world has Hillary Clinton. The real world has Hillary Clinton. ""She won't back down."" ,""Champion for all of us."" ,""That's why I'm with Hillary."" ,""I'm with Hillary."" ,""I'm with Hillary."" ,""I'm with Hillary, join us."" I'm Hillary Clinton and I approve this message.",center,center,0,center,0,0,0,0
PRES_LCVVF_TRUMP'S_SYMPHONY,"""I love the old days. You know what they used to do to guys like that, when they were in a place like this? They would be carried out on a stretcher, folks. And you can tell them to go fuck themselves. I could stand in the middle of Fifth Avenue and shoot somebody and I wouldn't lose any voters, okay? It's like incredible when Mexico sends its people, They're bringing drugs. They're bringing crime. They're rapists. You know, you could see there was blood coming out of her eyes. Blood coming out of her. Wherever it got to see this guy, I don't know what I said, I don't remember."" Our children and grandchildren will look back at this time at the choices we are about to make, the goals we will strive, for the principles we will live by and we need to make sure that they can be proud of us. I'm Hilary Clinton and I approve this message.",center,center,center,center,center,0,0,0
PRES_LESSIG_WHO_OWNS_TRUMP_15,"I'm Hillary Clinton and I approve this message. ""Evelyn the clothing do you know where were these made?"", ""These were made... I don't know where they were made, but they were made some place. But they're great. Suits ties, shirts, everything sold at Macy's and they're doing great."", ""Where the shirts were made?"", ""Bangladesh."", ""They were made in China"".",both,base,0,center,0,0,center,center
PRES_LOCALVOICES_BARCLAY_60,"I'm Hillary Clinton and I approve this message. ""Who you were consulting with consistently so that you're ready on day one?"", ""Speaking with myself because I have a very good brain myself."" While Donald Trump consulted with himself. As Secretary of State, Hillary Clinton negotiated a ceasefire in Gaza, reduction in nuclear weapons took on Vladimir Putin and stood up against the trafficking of human beings. A steady leader in an unsteady world.",center,center,center,0,0,center,0,0
PRES_NEWDAYFORAMERICA_NEWT,"I do not believe we live in a single issue country. The economy is rigged in favor of the top. Americans haven't had a raise in 15 years, but I want to go further whether it's poison in the water, hard-working immigrant families, living in fear racism holding people back. A big financial interest along with drug companies, insurance companies, big oil companies, the indifferent the negligence. That's what I want to take on. I'm running for president to root out all of these barriers because I think America and only live up to its potential with. We make sure that every American has chance to live up to his or her potential. I'm Hillary Clinton and I approve this message.",base,both,both,0,both,0,0,center
PRES_NEWDAYFORAMERICA_ON_THE_JOB_TRAINING,"I really wanted to start with a thank. And I want you to know how much it has meant to me, as I've traveled across the state, to hear about people's hopes and struggles. And I know that because of that, I will be a better president if I'm elected, and if you go to the caucus on Monday night and stand up for me there. I will work my heart out to give you and our country. The future that we deserve together. I'm Hilary Clinton and I approve this message.",0,center,0,center,0,0,center,center
PRES_NEWDAYFORAMERICA_US,"I spent 22 years in the Air Force, and I was a republican for every one of them. I was rationalizing Donald Trump's behaviors until I heard that tape. That was the last straw. I don't want my granddaughter thinking It's okay to be treated that way. And my grandson growing up thinking, that's how you should treat women. That scares me. That scares me a lot. So Hillary's got my vote. We don't see eye to eye on everything, but she's strong and I respect her and she someone that my grandkids can respect. I am Hilary Clinton and I approve this message.",0,center,center,0,center,both,0,0
PRES_NPV_MARBLES,"I think we can all agree. It's been a long campaign. But tomorrow you get to pick our next president. So here are a few things that I hope you'll think about. First, It's not just my name and my opponent's name on the ballot. It's the kind of country we want for our children and grandchildren. Is America dark and divisive, or hopeful and inclusive. Our core values are being tested in this election, but everywhere I go, people are refusing to be defined by fear and division. Look, we all know we've come through some hard economic times. And we've seen some pretty big changes, but I believe in our people. I love this country and I'm convinced our best days are still ahead of us, if we reach for them together. I want to be a president for all Americans. Not just those who support me in this election, for everyone because we all have a role to play in building a stronger, fairer America. The second thing I want you to know is this. I will work my heart out as president to make life better for you and your family. We won't always get it right, but you can count on this. I've never quit and I never will. I'll get up every day determined to keep America safe and strong, and make our economy work for everyone, not just those at the top. And finally working for children and families has been the cause of my life, but it's Has never been more important than it is right now. This has to be our mission together, to give our kids and every American, the chance to live up to their god-given potential. So tonight I'm asking for your vote and tomorrow let's make history together. I'm Hillary Clinton and one last time I approve this message.",center,base,0,center,0,0,center,center
PRES_NRTPAC_CORRUPT_AND_DANGEROUS_60,"""This epidemic of gun violence knows no boundaries."" Hillary Clinton has what it takes to stand up to the republicans and the gun lobby. ""We need to close the loopholes and support universal background checks. How many people have to die before we actually act before we come together as a nation?"" I'm Hilary Clinton and I approve this message.",center,center,0,center,0,0,0,0
PRES_OBAMA_ALWAYS,"Jeb Bush if using scorched-earth attacks on fellow republicans. Why? Bush can't defend his liberal record supporting Common Core and the Wall Street bailout. Bush can't defend his private sector experience, making millions from a company that promotes Obamacare. All Bush has is the past. So he attacks. Jeff Bush, bad ideas. Not the answer for our future. Conservative Solutions PAC is responsible for the content of this advertising.",center,base,0,center,0,0,center,center
PRES_OBAMA_CHARACTER,"""We have every right to dream heroic dreams. Those who say that we're in a time when there are no heroes, just don't know where to look."" He believes in the American dream because he has lived it. It is Marco Rubio. His parents fled dictatorship, then work their way to a better life. One of opportunities and possibilities are young man in a hurry. He took on the republican establishment, the experts were shoked, but not the people. They knew, because it is day for his clear, conservative voice. Less government, more freedom, a foreign policy founded on strength, real opportunity for every American who wants to earn, a new generation of leadership to unite conservatives and reignite the American dream. ""Now, the time has come for our generation to lead the way towards a new American Century."" Belive in the future. Marco Rubio for president. Conservative Solutions PAC is responsible for the content of this advertising.",0,center,0,center,0,center,0,0
PRES_OBAMA_CYNICAL,"Ted Cruz says, Donald Trump has boatloads of liberal positions. Donald Trump says Ted Cruz can't beat the Democrats. Well, they're both right. Marco Rubio is the conservative who can win and the Clinton machine knows it. Marco Rubio. He'll unite Republicans and restore the American dream. If you're not with Marco, you're electing the Democrats. Conservative Solutions PAC is responsible for the content of this advertising.",center,center,center,0,0,both,0,0
PRES_OBAMA_FIRST_LAW,"""I love the poorly educated!"" That's really what Donald Trump is all about. He thinks were fooled. Trump uses sleazy bankruptcy laws to avoid paying workers. He bans disabled veterans. He even tried to use eminent domain to kick a widow from her home. Donald Trump puts himself first, and us last.",center,center,base,0,center,0,0,both
PRES_OBAMA_MAIN_STREET,"America has suffered three years of crushing unemployment. ""We will create nearly half a million jobs by investing in clean energy."" What really happened? Billions wasted on failed Investments, thousands of Americans who lost jobs, while stimulus money went to companies that created jobs overseas paid for by the four billion Obama's added to our debt every day. Tell President Obama for real job growth, cut the debt. Support the new majority agenda at New Majority Agenda dot-org.",center,center,center,0,center,0,0,0
PRES_OBAMA_MOSAIC,"President Obama's agenda promised so much. ""If you like your health care plan, you'll be able to keep your health care plan."" Promise broken. Millions could lose their health care coverage and could be forced into a government pool. ""We can't mortgage our children's future on a mountain of death."" Promise broken. Under Obama the federal debt has exploded by more than five trillion. Tell President Obama to cut the debt and support the new majority agenda at New Majority Agenda dot-org.",center,center,center,0,center,0,0,0
PRES_OBAMA_ONLY_CHOICE,"Barack Obama sticks by his principles. It's time for Republicans to stand by ours. That's how we win. And that's how I'll lead as president. I won't compromise the values that make us who we are. The Constitution wasn't a first draft. Our border isn't a revolving door, and the rule of law wasn't meant to be broken. America is off track, but our founding principles will get us back. I'm Ted Cruz and I approve this message.",center,base,0,center,0,0,center,center
PRES_OBAMA_TRUST,"Obama was a failure. Hillary could be worse. We have to get this right. Ted Cruz, will repeal Obamacare, grow jobs, destroy Isis, jobs, freedom, security, Cruz. I'm Ted Cruz and I approve this message.",0,center,center,center,center,0,0,0
