name,face_sentiment,text,Lidor,Liora,Roee,Barak,Ania,Or,Ben,Skyler
PRES_45COMMITTEE_SAME_PATH_60,"[[0.003732031992902713, 1.6544905016945596e-11, 3.914107488916281e-06, 0.0007645405795691269, 0.011724369999553477, 3.591344681958779e-08, 14.269489901406425], [8.581653491572407, 2.870332251659248e-06, 0.7154976362248241, 0.009410197755915619, 1.1841752352165043, 0.0006613621207046642, 3.7943133020368114], [5.212285148126704, 0.003722817526308321, 0.227783394451514, 0.2924267110823476, 7.377920420216177, 0.0005108805627927306, 1.1710654045637832], [0.06719648440288979, 5.165418115652871e-07, 0.0015164378179788247, 2.8515344854826705, 8.505180559296813, 3.3229550515654245e-05, 2.860252516795632], [0.0004948650538949012, 4.372246446296394e-09, 0.7713065472173025, 14.28656078894069, 1.5671283225512123, 3.7906463753281985e-05, 0.04014687010350006], [0.0022484916022611832, 1.5574333355192537e-06, 5.136100410085203e-05, 14.178235183849049, 0.0019073768109089575, 0.00048058368136593934, 0.10279027160390701]]","What will America look like if we stay on the same path? Four more years of a flatline economy, skyrocketing health care premiums and deductibles, national morale at rock bottom. Four years of endless scandal, excuses and lies from a dishonest politician, americans simply don't trust. No candidates are ever perfect, but this choice is clear. A tired career politician who would increase taxes more than a trillion dollars, cost us over 300,000 jobs and dramatically increase the death tax. Or a proven job creator who fight to get America working. Appoint common sense judges and put us first. It's not too late to rebuild to change Washington to make America strong again. And it starts November 8th with your vote. The time for change is right now. 45 committee is responsible for the content of this advertising.",base,center,center,0,center,center,both,center
PRES_45COMMITTEE_SAME_PATH_REV_2,"[[0.032431837564175434, 2.101711192097904e-05, 0.6637754352524354, 0.05051265705826403, 14.322636771740788, 4.838391772648704e-05, 1.5486504416912794], [4.246479470510872, 1.1710926927346974, 1.2065387349955887, 0.13506989260869368, 7.539576504911695, 0.01015944337491326, 2.0176145799305973], [0.03781003345336233, 8.668714307888007e-11, 0.0027037992757478996, 0.14693947242838995, 9.769426924841744, 1.4770734781320374e-05, 4.328820535114834], [0.06969121417828969, 0.0002143966412404552, 0.0032510157325305045, 13.833007642201014, 0.01023116970567831, 0.004600864070068512, 0.36471717591796604]]","What if we stay on the same path? A stagnant flatline economy, 45 million Americans living in poverty, skyrocketing health care premiums. America can't afford a president too distracted by their own endless scandals. There's only one way to stop the constant Clinton scandal, hold them accountable and make America strong again. On November 8th vote for real change. 45 committee is responsible for the content of this advertising.",center,center,0,0,0,center,both,both
PRES_60PLUS_STRENGTHEN,"[[0.530594790166386, 0.006094985813021222, 13.578408189350242, 0.002814925680246549, 0.07319275215524836, 0.07064396205531301, 0.02396450192106173], [2.1064773584321825, 0.0014467732044613775, 9.56054528992205, 0.02912310897962132, 0.359650504675142, 1.144112676531736, 1.084359225894972], [6.755420565605164, 0.5123688174145562, 1.6566079642091478, 0.10879679050828729, 4.24003005027771, 0.3310990386775562, 0.6813912519386837], [0.08996559311031573, 0.0018198071217661444, 12.10063086837033, 0.06456026926144434, 1.6506304617814782, 0.03293424575383936, 0.34517328582672563], [1.8525159784725733, 0.06355677864381246, 8.743676117488317, 0.05265877116471529, 0.4002918356231281, 2.2641952548708235, 0.9088195860385895], [2.361345998379537, 0.006599198715878657, 1.531049791699623, 3.1185956398107235, 0.7134692263481376, 0.6927092986271227, 5.8619450847355905], [0.8689538708754948, 0.00040231869726475064, 0.9349813418728965, 0.02349534604166235, 0.32726446432726725, 0.024495381928448166, 12.106122289385114], [0.28183250022786005, 0.014618449910942997, 10.046755416052681, 0.06796603224107198, 0.5787580140999385, 0.011456178201894675, 3.2843283244541714], [0.20698535123041698, 0.00045979832066223025, 0.08580318119909082, 0.008127045085919755, 13.38457805769784, 1.0949152543357091e-05, 0.5997498652764729], [7.407918146678379, 0.02551822690293193, 0.46957332108701977, 0.025790038385561535, 6.1601225818906515, 0.005457619304901787, 0.19133487450225012], [0.5814261202301297, 0.07787207141518593, 13.251426390239171, 0.07350972986647061, 0.17170940658875875, 0.0464283927742924, 0.08334264691386904], [2.637198567390442, 0.009322627114930324, 4.239342468125479, 0.42825652552502497, 3.081540124756949, 0.09696661228580135, 3.7930880274091447], [1.2795791490938673, 1.3875761792154526, 10.96559553076827, 0.009868061514808546, 0.15964411505646034, 0.4338840539913242, 0.049567018956484674], [0.003535265152874802, 1.1120246588637782e-09, 0.002005280735569873, 0.0006816894581009235, 0.01953063765540719, 9.799140181192862e-05, 14.2598637512752], [9.90340699981118, 1.146715235529907e-09, 0.0002694309855062494, 6.419974461762067, 0.00018386481809259218, 0.00035486438455418595, 0.0023413385515138716], [4.719674611035684e-07, 4.2708293014278156e-11, 9.15938174898908e-06, 14.284305912939844, 1.0309154531399083e-05, 1.841844575327321e-05, 0.0013702199348936473], [7.001852152045883e-06, 9.646647204070653e-13, 2.0182908753797945e-05, 14.283261980329241, 1.4939412754496776e-06, 0.0012365823619932468, 0.001187225487748427]]","Hello friend. Pat Boone here. Recently, there's been a lot of talk about Medicare. It's hard to know who to trust. The fact, Medicare is going bankrupt. President Obama hasn't done much to fix it. He took seven hundred billion dollars from Medicare to pay for his Healthcare law. Mitt Romney will strengthen Medicare so it's there for seniors and our grandkids, no changes. For those over 55 younger, folks can choose the care that's best for them. Strengthen Medicare. Vote for Romney. 60 plus Association is responsible for the content of this advertising.",center,center,center,0,center,center,center,center
PRES_ABTT_DOUBLE_NEGATIVE_60,"[[0.07207739566053663, 7.782804876756342e-08, 14.121741907937187, 0.003278030947382961, 0.007112009084916541, 0.027717099458511387, 0.05378883132444961], [0.14412254095077515, 3.67952419138101e-13, 3.982399616922651, 0.00011082768521321538, 9.910442999431066, 0.007745992791439805, 0.24089209203209197], [6.289592390481939e-05, 1.7869265578347634e-11, 8.861541426919706, 0.006797100684399712, 7.434988802033054, 0.0017079579244291157, 0.02143283000436569], [0.05828581811201705, 1.2354079097659618e-09, 6.861859877312178, 0.48186712851632707, 8.715766699672526, 0.0003284865125022268, 0.5475657779733372], [0.025916999834036895, 1.5208770888765087e-12, 13.068662503942301, 1.8842404437368816, 1.4668284284642326, 0.11453352836431648, 0.10634216184379142], [5.267377612789074, 1.051035116523433, 1.0124436589156833, 0.4201172420522263, 0.5905445836920753, 0.15354428408077767, 5.790652812115971], [10.235695938126288, 0.0048150228146370795, 1.9932633123469625, 0.08245604604220665, 1.8325434227313653, 0.003672117403323708, 0.1332686495174727], [0.0028433756994623214, 1.0489894667087401e-10, 10.782765995988811, 0.0006529412831740953, 4.832365433218683, 0.010268284213998705, 1.0377504457081062], [0.4145974885074177, 3.825772126525777e-07, 0.07253168432379477, 15.767367769686787, 0.06491071582749973, 0.22781026407132104, 0.07085739175300491], [0.3773814039767159, 0.0004280698177172998, 7.02860810389677, 0.05250925667535112, 9.14491902854849, 0.0094728411026237, 0.004756444277149024], [0.06460453436445215, 1.943014995618046e-08, 5.3349867061951046e-05, 1.9071143460583018, 14.289948611771306, 1.1490244067935178e-06, 0.3980025468368106], [3.0102535640300254e-15, 1.6733156183645332e-26, 1.2756472168279558e-16, 14.285714285714286, 4.546962694755376e-12, 3.277316259397581e-12, 1.385421682138193e-07], [0.07159354032150336, 0.0004992767311965249, 0.05426269490271807, 0.008350935864395328, 0.33643735306603567, 0.0055307447577693635, 13.80904061453683], [11.630865347522134, 8.657160287735262e-13, 2.6542609809111433, 0.00034300825549192444, 0.0002451708382942229, 5.181321950406267e-09, 4.212714158970095e-09], [6.850746374374866e-05, 2.369779445036258e-10, 2.0607741579130794, 0.27952940898110157, 14.317819714081876, 0.007692863989811281, 0.0007620602907270239], [1.563500959958266e-05, 3.6961104531577124e-11, 0.6328463703381967, 14.288266069409383, 1.7334064285125177, 4.789545949484589e-06, 0.011985991776293023], [6.999233807927597, 0.10608990210287375, 5.981751989087651, 0.021257202400898647, 0.9302925806037347, 0.009314590021186554, 0.23777317082179963], [0.06001955186078874, 0.0892974464522059, 0.06312329376096056, 1.8365250751292577, 13.065466285637685, 0.0007933689049707994, 1.2113060877736692]]","You're not a cook if you don't cook, you're not a firefighter if you don't fight fires or a coach if you don't coach. And you can't be our leader, if you don't lead. Our next president needs to take action on social security or future generations could lose up to ten thousand dollars a year. We're working hard. What about you? Hey candidates, do your job, keep Social Security, strong.",0,center,both,center,0,0,center,center
PRES_ABTT_NOT_ABEL_60,"[[3.165716725857741e-05, 6.497891219435205e-16, 14.038223013431354, 9.630630835554407e-08, 0.23686464159022477, 2.949947865128769e-05, 0.01056572718192501], [1.947383990699027, 2.2833977772124106e-18, 0.4028325021921524, 9.714058894350285e-07, 13.9024633801481, 8.610962373026352e-07, 0.07384906774339685], [2.1921526435367663e-06, 3.2481396636773516e-20, 1.0808721689110306e-05, 0.00014333487082954628, 7.04030493839777e-05, 2.6294137997881096e-10, 14.28548778806414], [0.5247928114079545, 5.61828699003799e-07, 0.004954784486963925, 0.0013231762740481975, 0.24964058412964343, 0.00034448762803699457, 15.545474363386584], [0.05405515845991808, 8.615771564084893e-06, 0.3922013890163017, 2.162619824514367, 0.21632336220808515, 0.4662460809369472, 13.375070674471926], [1.8494223947691641, 6.374346668842452e-09, 0.0013826665228278778, 0.0005665054179820401, 0.4739054894220695, 1.2132985022972761e-08, 11.960437329522723], [1.2042769363948278, 5.070996828797953e-07, 0.03622107407344239, 0.01636886570070471, 0.42698236980608534, 8.618248362576456e-06, 12.601855822971888], [0.010911708730938179, 5.292009885859983e-10, 11.123819862093244, 0.0026802484561423106, 1.277457709823336, 0.029719497875443528, 1.8411251051085336], [0.0003748411732626015, 1.3548372156950757e-14, 0.06032361249838557, 0.0005624366167467088, 0.0002639458346363556, 14.223454679761614, 0.0007347598771697708], [0.0015147750673349947, 7.080454476694951e-09, 6.350799117769514, 0.025466595044625655, 0.006410539832099208, 7.869755370276315, 0.03176802835826363], [0.00944101540765258, 3.652534048652543e-09, 3.9522871602093335, 0.38540078229397945, 1.097232381621656, 0.45200328242798343, 8.38934999470583], [0.016179848096276494, 3.686307352281265e-08, 2.135725608210954e-05, 14.26788653539935, 0.0005001492002968067, 3.671790202028608e-07, 0.001126508208314446]]","You can't turn on the TV these days without seeing some attack ad. A Super PAC supporting Mitt Romney flooded Iowa with commercials hammering Newt Gingrich. Newt said you wanted it to end. So the Super PAC backing him just dumped millions into ads attacking Romney. It's enough to make you sick. Americans for a Better Tomorrow Tomorrow know we deserve better. Donate today and will destroy both these guys, and their Super PAC with a merciless ad, so fierce, they wish they'd never been Incorporated in an orgy of pure distortion leaving nothing behind but the clean campaign we all deserve. Americans for a Better Tomorrow Tomorrow are responsible, for the content of this advertisement.",0,both,both,0,0,both,center,center
PRES_AEA_NINE_DOLLAR_GAS,"[[14.243582311784817, 3.992910605511686e-08, 0.016234105259414006, 0.023041659985446418, 0.002846515029067103, 3.6476855773674976e-12, 1.0417248801639476e-05], [14.275539772851127, 4.953061770253595e-10, 0.0016952557156660727, 0.007474755901577217, 0.0010053113718251033, 5.457756588610307e-15, 6.495294461014314e-07], [0.07796111250562328, 4.875355281391032e-06, 0.5606964230537415, 0.020940368995070457, 4.17873135634831, 0.0009139740931069744, 9.446465969085693], [4.4193271068966435, 0.010558474282016585, 5.363350467282478, 0.06272861917571793, 3.2791042250611175, 0.15953706804327492, 0.9911077246026639], [0.12040180819375175, 2.3544756848942988e-05, 0.5445324948855809, 0.0058124814781227285, 13.256932156426567, 0.0023999821028805207, 0.35561139562300276], [0.11815370897800549, 5.7794916173476124e-05, 0.9128010178430347, 0.06778212002962691, 13.084611650809915, 0.01145470623082726, 0.09085326331830743], [0.009834952680397729, 1.4619022701894675e-12, 5.337261790524248, 3.6411080996667714e-05, 11.126559633983687, 6.818119534786567e-05, 0.14431528536479996], [0.17547162854012474, 2.9877919087919786e-07, 9.352036765093038, 0.00012768537866407768, 6.691247744099186, 0.006223282722495828, 0.3929675983642073], [3.9469642746235634, 0.0005601671044594642, 3.6363197301837054, 0.350760524065557, 4.325912769886245, 0.005334371455359249, 2.0198626456778137], [1.6995853611401148, 0.0002685429925415, 0.7905728050640651, 0.15130392940981047, 10.571353776114327, 0.0001808177850242438, 1.0724495564188277]]","The people of South Carolina are frustrated. It's less than a week before the election and they're still no candidate for us. Plus they economy. Thankfully there is one name on the ballot that stands for true americanimity, Herman Cain. Americans for a Better Tomorrow Tomorrow believe a vote for Herman Cain is a vote for America. He's not a career politician. He's such a Washington outsider, he's not even running for president. Send them a message. On January, 21st vote for Herman Cain. Americans for a Better Tomorrow Tomorrow are responsible for the content of this advertising.",center,center,0,center,0,0,center,center
PRES_AFF_BOB,"[[1.0443124387945448, 1.4730689049510408e-07, 0.054511048697999546, 0.001117369330521407, 2.321566002709525, 1.0462122190801892e-05, 10.864197356360298], [0.0012062486868152128, 5.948468899991915e-10, 0.00201691228929641, 0.12089950697762626, 0.08939045614429883, 4.6032823775021825e-05, 14.072155952453613], [4.289000886218994, 0.0008319938470332068, 5.2456789650193745, 0.008470796426469938, 4.5757575891750735, 0.009678137378449298, 0.1562971808072544], [0.01301341357507876, 2.708536886838634e-08, 0.95244614141328, 11.80320041520255, 0.01128746080212295, 0.03568687742309911, 1.4700804437909807]]","Since Obama became president, gas prices have nearly doubled. Obama opposed exploring for energy in Alaska. He gave millions of tax dollars to Solyndra, which then went bankrupt. And he blocked the Keystone Pipeline so we will all pay more at the pump. Obama's Energy Secretary said we need to boost the price of gasoline to the levels in Europe. That's $9 a gallon. But what does he care? Tell Obama we can't afford his failing energy policies.",center,center,both,0,0,center,center,center
PRES_AFF_MICHAEL_WALTZ,"[[0.0300220912322402, 3.9332778304209827e-07, 0.045392828594361036, 0.012970904520313655, 0.26975907385349274, 0.004950282995456031, 13.922618968146187], [0.12078718947512763, 5.277610491484706e-09, 0.2134049710418497, 0.01272579621789711, 1.6789073390620095, 0.006748855230398476, 12.253140551703316], [0.10087141437062111, 2.1809405106667615e-07, 2.208955291873106, 0.018417631775020895, 11.66919454237701, 0.0007947603814107833, 0.2874807492951431], [5.97306319645473, 1.021893142803622e-05, 0.9373276361397335, 0.000916704344230571, 7.230569635118757, 0.000585509094110291, 0.14324141666293144], [0.18093126707007942, 0.00020289772992064683, 13.967458671946275, 0.0007862443922270472, 0.06175621647744107, 0.06348314807357137, 0.011096152838994944]]",I was duped by the Trump. I paid 35 thousand dollars to Trump University and never heard from anybody about giving me a list of hard money lenders and they've never contact me to give me the opportunity to purchase any real estate owned by Donald Trump. I was scammed because I believe in Donald Trump. You can make people believe practically anything. American Future Fund is responsible for the content of this advertising.,center,center,0,center,0,0,center,center
PRES_AFF_PROMISES,"[[0.017958429962562496, 2.337401866212198e-07, 0.04995488964026779, 0.001196813602021099, 7.678953174988335, 1.0711456856265677e-06, 6.537649107600217], [0.401535869709083, 7.830214242078779e-06, 3.437221476009914, 0.007254971257810082, 7.9858481884002686, 0.2112653505589281, 2.242580907685416], [0.000963638485969449, 8.497036914280271e-09, 0.004652566470651459, 0.0017121860356082534, 0.5805942975126, 1.9656542708939052e-06, 13.697789361515433], [0.06712503964081407, 1.6389753796851694e-06, 0.04737424852483317, 0.9181335112270045, 0.5726618423810875, 0.0031796538232996756, 14.71805426539207], [4.355992070403363, 6.44230676007884e-13, 6.391641587163872, 1.64050014558007, 0.10571090707861783, 0.017418395979744674, 1.774450925058016], [9.557449261959245, 0.04689418816976367, 1.474295909573706, 0.0007013483756125842, 1.7245649566200445, 0.19756292224957467, 3.3250612858275166], [10.829778228487287, 0.12061085019792829, 1.9701638392039709, 0.07516190276614257, 0.30712735440049854, 0.24873877742460795, 0.7341332733631134], [0.0003151565709101435, 4.640114185740428e-10, 0.0014711574684562428, 0.0007579054259362497, 14.282656567437309, 3.6635631036777536e-09, 0.0005136898315478382], [14.13242141253759, 2.3081109923524396e-05, 2.41525772599207, 0.005357675684442537, 0.051346824771645726, 4.241170811888871e-05, 0.013627557812821349], [5.233047689710345, 5.950404613486171e-08, 4.209015624863761, 1.1447009943107592e-05, 0.7510183112961906, 0.0005903017673907536, 4.092031291552952], [1.026425633662614, 0.012577863865979779, 3.4238913752293163, 0.0047801741680680715, 9.519469940768813, 0.09911503463019687, 2.531816376165161], [9.03408079081662, 0.002984957721347506, 0.2969301084789079, 0.13385756740394708, 0.9983219080609363, 0.040380545468605956, 3.7791575456669873], [8.950721899569489, 1.6909776378321336e-05, 5.328395854564829, 1.736768262649212e-05, 0.0026868597592643825, 0.0007708663430661125, 0.0031051356699451776]]","I'm Lieutenant Colonel Michael Waltz. I've served multiple tours in Afghanistan, as a special forces commander. Donald Trump hasn't served this country a day in his life. Essentially, dodged, the draft in Vietnam, through multiple deferments. He's been fed through a silver spoon went to boarding school. He says, it was so tough. He felt like he was in the military. All Donald Trump has served is himself. Don't let Trump fool you. Look into his real record and stop Trump now. American Future Fund is responsible for the content of this advertising.",both,center,center,0,center,0,center,center
PRES_AFP_LEADERSHIP_FAILURE,"[[9.533033767236363, 8.660558855869061e-08, 0.00023462354156851328, 0.042399146994624326, 0.36934194674843335, 0.09584282047578704, 4.244861352204775], [9.213273865836006, 1.5147371154203679e-05, 0.04615237869854484, 0.012645601028842586, 0.9249503059046609, 0.000358873486610329, 4.088318347930908], [0.1833542250096798, 2.920593578489442e-10, 0.08970135157661778, 0.0007723972625431738, 7.415098803383963, 4.95819694825071e-09, 6.596787912505014], [4.15526270088842, 0.00126444332637167, 6.929899952320539, 0.2015403592014527, 0.16472270097527253, 1.3427206184101474, 1.4903034306604863], [0.1090762897165212, 1.1806492193882399e-05, 0.4125208690899926, 0.04336761497879638, 0.8613386925407435, 0.01974866193303835, 15.172012522255509], [0.7237556789602552, 5.851290682138252e-10, 3.1559416225978305, 0.05026603716292551, 7.677359240395682, 1.8934602457371901e-07, 2.678391763142177]]","""We're going through some tough times. Still going through some tough times. Create a million new manufacturing job. Rebuilding our crumbling roads and bridges. Building, roads and bridges. Pay down some of this debt. Pay down our debt. Put people back to work. Put people back to work. This is a time when so many people are struggling. When so many people are still struggling. I promise you. I promise you change will come. If I don't have this done in three years, then there's going to be a one-term proposition."" American Feature Fund is responsible for the content of this advertising.",0,both,0,center,0,both,center,center
